HDI rank,Country,Human Development Index (HDI) 2023 ,Life expectancy at birth 2023,Expected years of schooling 2023,Mean years of schooling 2023,Gross national income (GNI) per capita 2023 (2021$),GNI per capita rank minus HDI rank 2023,HDI rank delta 2022
1,Iceland,0.972,82.691,18.85058975,13.90892628,69116.93736,12,3
2,Norway,0.97,83.308,18.79285049,13.11796218,112710.0211,0,1
2,Switzerland,0.97,83.954,16.66753006,13.94912109,81948.90177,5,2
4,Denmark,0.962,81.933,18.70401001,13.0273206,76007.85669,4,4
5,Germany,0.959,81.378,17.30921936,14.29637163,64053.22124,13,6
5,Sweden,0.959,83.262,18.99147034,12.74032574,66102.08595,10,4
7,Australia,0.958,83.923,20.65477943,12.86999989,58276.87643,14,8
8,Hong Kong,0.955,85.511,16.89586067,12.35000038,69435.75706,4,9
8,Netherlands,0.955,82.158,18.58485031,12.66994689,68344.30826,6,7
10,Belgium,0.951,82.115,18.99603081,12.68965045,63582.47535,9,13
11,Ireland,0.949,82.412,19.1848793,11.72499956,90884.63459,-6,10
12,Finland,0.948,81.91,19.49408913,12.97962547,57067.63693,10,11
13,Singapore,0.946,83.736,16.74227905,11.98999977,111239.2291,-10,14
13,United Kingdom,0.946,81.302,17.81106949,13.48999977,54371.58634,13,11
15,United Arab Emirates,0.94,82.909,15.60159016,12.98999977,71142.30475,-4,23
16,Canada,0.939,82.63,15.88825989,13.86999989,54688.41729,9,16
17,Liechtenstein,0.938,83.63,15.41257954,12.40995938,166811.6741,-16,15
17,New Zealand,0.938,82.088,19.30005074,12.88299807,47259.60137,17,17
17,United States,0.938,79.304,15.92300034,13.90999985,73650.03077,-7,18
20,South Korea,0.937,84.329,16.6186409,12.72219869,49726.45327,11,19
21,Slovenia,0.931,81.603,17.47717094,12.95120192,46360.80779,15,21
22,Austria,0.93,81.956,16.28428078,12.36146506,63479.20843,-2,20
23,Japan,0.925,84.712,15.51198006,12.68404671,47774.60973,10,23
24,Malta,0.924,83.299,15.90985012,12.4207021,52155.07487,5,26
25,Luxembourg,0.922,82.229,14.35795021,12.58937195,85461.24833,-19,22
26,France,0.92,83.325,16.09511948,11.7656677,55060.16038,-2,27
27,israel,0.919,82.408,14.93416023,13.53459474,48050.11176,5,23
28,Spain,0.918,83.67,17.83031082,10.75612495,46008.44221,9,28
29,Czechia,0.915,79.834,16.7935009,12.96318214,45889.01401,9,28
29,Italy,0.915,83.716,16.71419907,10.82812827,52388.88306,-1,32
29,San Marino,0.915,85.706,14.59976717,11.35999966,64706.37558,-13,30
32,Andorra,0.913,84.041,14.54279041,11.60999966,64631.0749,-15,37
32,Cyprus,0.913,81.648,16.21559906,12.5573721,45394.15625,7,31
34,Greece,0.908,81.857,20.84550095,11.55385642,35760.74915,17,36
35,Poland,0.906,78.633,16.67827988,13.20854242,42217.63778,5,33
36,Estonia,0.905,79.153,15.96786022,13.56216597,40880.93044,8,33
37,Saudi Arabia,0.9,78.732,16.94943047,11.60642778,50298.91363,-7,37
38,Bahrain,0.899,81.284,15.92718983,11.13000011,52818.79538,-11,33
39,Lithuania,0.895,76.025,16.45467949,13.61069239,41916.46579,2,39
40,Portugal,0.89,82.36,17.48682022,9.703254412,41063.92568,3,41
41,Croatia,0.889,78.58,16.34815025,12.0951217,41379.89027,1,40
41,Latvia,0.889,76.19,16.48265076,13.40943983,37997.82233,6,43
43,Qatar,0.886,82.368,13.14116001,10.77000046,105353.268,-39,41
44,Slovakia,0.88,78.341,14.94684982,13.10320397,36792.98874,5,44
45,Chile,0.878,81.167,16.91242027,11.29105394,28047.1698,16,45
46,Hungary,0.87,77.024,15.46940041,12.33162229,37236.07462,2,46
47,Argentina,0.865,77.395,18.83120918,11.18458184,25876.05307,20,47
48,Montenegro,0.862,77.087,15.53652954,12.77392572,28026.3304,14,48
48,Uruguay,0.862,78.138,17.4839592,10.53999996,28649.82199,12,50
50,Oman,0.858,80.031,13.43931961,11.89000034,36096.04123,0,52
51,Turkey,0.853,77.156,19.8307991,8.98624366,34506.98065,1,48
52,Kuwait,0.852,80.405,15.90424029,7.566007112,56612.04699,-29,53
53,Antigua and Barbuda,0.851,77.598,15.50299899,11.64750004,27386.51793,10,51
54,Seychelles,0.848,72.862,18.22489929,11.19995,29195.03792,4,56
55,Bulgaria,0.845,75.636,15.3166399,11.45453092,32174.93003,0,57
55,Romania,0.845,75.938,14.05288029,11.55000019,39374.25372,-10,54
57,Georgia,0.844,74.496,16.75470924,12.69999981,20752.57009,18,55
58,Saint Kitts and Nevis,0.84,72.145,18.40703011,10.8494008,29105.43743,1,60
59,Panama,0.839,79.594,13.3116098,10.83375095,34384.56813,-6,57
60,Brunei,0.837,75.327,13.69861984,9.282,75826.87338,-51,63
60,Kazakhstan,0.837,74.402,14.0086174,12.54717423,30988.52844,-4,59
62,Costa Rica,0.833,80.799,16.34963687,8.844752499,23417.21315,6,65
62,Serbia,0.833,76.769,15.04216003,11.64171812,23114.80953,7,61
64,Russia,0.832,73.154,13.18515015,12.40999985,39221.68359,-18,61
65,Belarus,0.824,74.434,13.71881008,12.33537298,26724.871,1,64
66,Bahamas,0.82,74.552,11.89137971,12.81441904,30974.68074,-9,66
67,Malaysia,0.819,76.657,12.67639256,11.09000015,32553.09108,-13,68
68,North Macedonia,0.815,77.395,14.78143978,10.22999954,22128.39461,2,67
69,Armenia,0.811,75.683,14.3838501,11.34497821,20220.72319,9,72
69,Barbados,0.811,76.178,16.6280018,9.92835689,17327.52047,20,69
71,Albania,0.81,79.602,14.51014996,10.17531099,17627.39404,16,70
72,Trinidad and Tobago,0.807,73.49,14.23764336,10.79275036,27000.14511,-7,71
73,Mauritius,0.806,74.926,14.16282114,10.10332754,27279.96011,-9,75
74,Bosnia and Herzegovina,0.804,77.85,13.16394043,10.97000027,19827.48588,6,73
75,Iran,0.799,77.654,13.96833061,10.84671198,16095.77169,19,77
76,Saint Vincent and the Grenadines,0.798,71.23,16.2530213,11.29534968,17246.63609,14,75
76,Thailand,0.798,76.412,15.35883492,9.039999962,20569.90176,1,78
78,China,0.797,77.953,15.4787495,8.036181597,22029.22253,-7,74
79,Peru,0.794,77.74,14.90939376,10.15465159,14338.70977,23,79
80,Grenada,0.791,75.205,16.57728919,9.446399307,14349.02804,21,80
81,Azerbaijan,0.789,74.429,12.90977955,11.06999969,20667.95729,-5,82
81,Mexico,0.789,75.069,14.46811008,9.349510934,21812.65566,-8,84
83,Colombia,0.788,77.725,14.28641033,9.031581597,18665.94967,1,85
84,Brazil,0.786,75.848,15.7927103,8.425371752,18011.28546,1,86
84,Palau,0.786,69.269,14.06742382,13.29903477,16034.51036,11,81
86,Moldova,0.785,71.198,14.63856847,11.82999992,15866.54207,11,82
87,Ukraine,0.779,73.422,13.32800961,11.12273899,16933.14453,5,90
88,Ecuador,0.777,77.392,14.85167027,8.970000267,13986.39698,15,89
89,Dominican Republic,0.776,73.72,13.61692047,9.444525756,22023.51059,-17,87
89,Guyana,0.776,70.18,13.02205765,8.702429672,46959.25173,-54,95
89,Sri Lanka,0.776,77.483,13.12815666,10.77000046,12615.60045,22,88
